ROW_NUM,YM,CTRD_NM,CTRD_CODE,LVSTCKSPC_NM,LVSTCKSPC_CODE,THSMON,THSMON_ACMTL
13661,202512,충남,6440000,소,LBI1000080,10846,119431
13660,202512,충남,6440000,말,LBI1000007,12,15
13659,202512,충남,6440000,돼지,LBI1000006,345629,3331604
13658,202512,충북,6430000,닭,LBI1000088,7349385,85048572
13662,202512,충남,6440000,산양,LBI1000087,1739,16860
13656,202512,충북,6430000,소,LBI1000080,17680,192178
13654,202512,충북,6430000,돼지,LBI1000006,255925,2609858
13653,202512,강원,6420000,닭,LBI1000088,1542683,17627311
13652,202512,강원,6420000,산양,LBI1000087,692,6753
13655,202512,충북,6430000,오리,LBI1000016,659209,8659472
13651,202512,강원,6420000,소,LBI1000080,2382,30694
13413,202511,강원,6420000,돼지,LBI1000006,39830,39830
13409,202511,경기,6410000,메추리,LBI1000021,60094,60094
13410,202511,경기,6410000,당나귀,LBI1000023,3,3
13411,202511,경기,6410000,소,LBI1000080,16565,16565
13412,202511,경기,6410000,닭,LBI1000088,11680005,11680005
13416,202511,강원,6420000,산양,LBI1000087,823,823
13414,202511,강원,6420000,꿩,LBI1000022,5552,5552
13415,202511,강원,6420000,소,LBI1000080,1984,1984
13417,202511,강원,6420000,닭,LBI1000088,1530598,1530598
13418,202511,충북,6430000,돼지,LBI1000006,225479,225479
13419,202511,충북,6430000,오리,LBI1000016,662943,662943
13407,202511,경기,6410000,돼지,LBI1000006,211155,211155
13408,202511,경기,6410000,말,LBI1000007,27,27
13400,202511,광주,6290000,돼지,LBI1000006,42323,42323
13406,202511,울산,6310000,산양,LBI1000087,135,135
13405,202511,울산,6310000,소,LBI1000080,565,565
13404,202511,울산,6310000,돼지,LBI1000006,9113,9113
13403,202511,대전,6300000,소,LBI1000080,425,425
13402,202511,대전,6300000,돼지,LBI1000006,15533,15533
13401,202511,광주,6290000,소,LBI1000080,1441,1441
13399,202511,인천,6280000,닭,LBI1000088,817504,817504
13398,202511,인천,6280000,소,LBI1000080,1309,1309
13397,202511,인천,6280000,돼지,LBI1000006,31865,31865
13396,202511,대구,6270000,닭,LBI1000088,1073787,1073787
13395,202511,대구,6270000,소,LBI1000080,1144,1144
13394,202511,대구,6270000,돼지,LBI1000006,23825,23825
13421,202511,충북,6430000,소,LBI1000080,14536,14536
13420,202511,충북,6430000,사슴,LBI1000017,4,4
13423,202511,충북,6430000,닭,LBI1000088,6736226,6736226
13422,202511,충북,6430000,산양,LBI1000087,2281,2281
13438,202511,경북,6470000,돼지,LBI1000006,106842,106842
13452,202511,제주,6500000,산양,LBI1000087,76,76
13453,202511,제주,6500000,닭,LBI1000088,561317,561317
13450,202511,제주,6500000,말,LBI1000007,82,82
13449,202511,제주,6500000,돼지,LBI1000006,70544,70544
13448,202511,경남,6480000,닭,LBI1000088,208199,208199
13447,202511,경남,6480000,산양,LBI1000087,1411,1411
13446,202511,경남,6480000,소,LBI1000080,10921,10921
13445,202511,경남,6480000,오리,LBI1000016,111729,111729
13444,202511,경남,6480000,돼지,LBI1000006,170728,170728
13443,202511,경북,6470000,닭,LBI1000088,6311066,6311066
13442,202511,경북,6470000,산양,LBI1000087,635,635
13441,202511,경북,6470000,소,LBI1000080,7696,7696
13440,202511,경북,6470000,꿩,LBI1000022,500,500
13439,202511,경북,6470000,말,LBI1000007,2,2
13451,202511,제주,6500000,소,LBI1000080,397,397
13437,202511,전남,6460000,닭,LBI1000088,3488228,3488228
13429,202511,전북,6450000,오리,LBI1000016,755381,755381
13436,202511,전남,6460000,산양,LBI1000087,3049,3049
13425,202511,충남,6440000,소,LBI1000080,7872,7872
13424,202511,충남,6440000,돼지,LBI1000006,270291,270291
13427,202511,충남,6440000,닭,LBI1000088,12843513,12843513
13428,202511,전북,6450000,돼지,LBI1000006,191525,191525
13426,202511,충남,6440000,산양,LBI1000087,1488,1488
13430,202511,전북,6450000,소,LBI1000080,1119,1119
13432,202511,전북,6450000,닭,LBI1000088,35739072,35739072
13433,202511,전남,6460000,돼지,LBI1000006,145570,145570
13434,202511,전남,6460000,오리,LBI1000016,2958769,2958769
13435,202511,전남,6460000,소,LBI1000080,7465,7465
13431,202511,전북,6450000,산양,LBI1000087,99,99
13473,202510,강원,6420000,돼지,LBI1000006,39633,39633
13468,202510,경기,6410000,말,LBI1000007,22,22
13469,202510,경기,6410000,메추리,LBI1000021,4672,4672
13471,202510,경기,6410000,소,LBI1000080,14911,14911
13472,202510,경기,6410000,닭,LBI1000088,11909411,11909411
13476,202510,강원,6420000,닭,LBI1000088,1732540,1732540
13474,202510,강원,6420000,소,LBI1000080,1756,1756
13475,202510,강원,6420000,산양,LBI1000087,520,520
13477,202510,충북,6430000,돼지,LBI1000006,205725,205725
13478,202510,충북,6430000,오리,LBI1000016,738645,738645
13467,202510,경기,6410000,돼지,LBI1000006,205884,205884
13479,202510,충북,6430000,사슴,LBI1000017,6,6
13461,202510,광주,6290000,소,LBI1000080,1300,1300
13466,202510,울산,6310000,산양,LBI1000087,67,67
13465,202510,울산,6310000,소,LBI1000080,581,581
13464,202510,울산,6310000,돼지,LBI1000006,8431,8431
13463,202510,대전,6300000,소,LBI1000080,378,378
13462,202510,대전,6300000,돼지,LBI1000006,16578,16578
13481,202510,충북,6430000,산양,LBI1000087,2021,2021
13460,202510,광주,6290000,돼지,LBI1000006,41000,41000
13459,202510,인천,6280000,닭,LBI1000088,844515,844515
13458,202510,인천,6280000,소,LBI1000080,1286,1286
13457,202510,인천,6280000,돼지,LBI1000006,28633,28633
13456,202510,대구,6270000,닭,LBI1000088,1275457,1275457
13455,202510,대구,6270000,소,LBI1000080,1223,1223
13454,202510,대구,6270000,돼지,LBI1000006,22669,22669
13480,202510,충북,6430000,소,LBI1000080,11846,11846
13487,202510,전북,6450000,돼지,LBI1000006,187922,187922
13482,202510,충북,6430000,닭,LBI1000088,7406608,7406608
13483,202510,충남,6440000,돼지,LBI1000006,271746,271746
13512,202510,제주,6500000,닭,LBI1000088,574517,574517
13511,202510,제주,6500000,산양,LBI1000087,54,54
13510,202510,제주,6500000,면양,LBI1000086,1,1
13509,202510,제주,6500000,소,LBI1000080,354,354
13508,202510,제주,6500000,말,LBI1000007,70,70
